,queue jobs,utilization
0,0,0.125
1,12,0.4033203125
2,34,0.7841796875
3,32,0.44140625
4,56,0.9375
5,31,0.2802734375
6,43,0.75
7,17,0.59375
8,8,0.2666015625
9,0,0.125
10,0,0.0
11,7,0.5
12,23,0.4794921875
13,25,0.75
14,40,0.6474609375
15,30,0.5302734375
16,30,0.7373046875
17,5,0.53125
18,2,1.0
19,4,0.8125
20,9,0.6435546875
21,0,0.0
22,55,0.751953125
23,54,0.6982421875
24,62,0.75
25,76,0.646484375
26,102,0.6533203125
27,128,0.7021484375
28,127,0.21875
29,152,0.572265625
30,151,0.9375
31,110,0.4609375
32,144,0.880859375
33,135,0.7744140625
34,153,0.71484375
35,193,1.0
36,163,0.2998046875
37,138,0.439453125
38,142,0.3955078125
39,150,0.6669921875
40,108,0.458984375
41,97,0.8623046875
42,61,0.4580078125
43,49,0.6630859375
44,22,0.880859375
45,0,0.25
46,2,0.83984375
47,0,0.70703125
48,0,0.75
49,0,0.40625
50,0,0.5625
51,4,0.927734375
52,0,0.3125
53,0,0.125
54,0,0.4375
55,0,0.5
56,0,0.3125
57,0,0.21875
58,0,0.34375
59,0,0.21875
60,0,0.09375
61,0,0.09375
62,0,0.5615234375
63,11,0.5693359375
64,5,0.5107421875
65,11,0.7080078125
66,10,0.65625
67,11,0.451171875
68,12,0.4638671875
69,4,0.8583984375
70,4,0.845703125
71,0,0.65625
72,0,0.34375
73,22,0.625
74,26,0.4140625
75,44,0.94140625
76,40,0.78125
77,71,0.525390625
78,40,0.875
79,0,0.78125
80,0,0.0
