,queue jobs,utilization
0,1,0.455078125
1,0,0.921875
2,0,0.921875
3,0,0.921875
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,4,0.171875
23,5,0.171875
24,19,0.125
25,39,0.947265625
26,89,1.0
27,143,0.96875
28,180,0.96875
29,189,0.37890625
30,241,0.19921875
31,288,0.16796875
32,337,0.08203125
33,512,1.0
34,666,0.4609375
35,762,0.4609375
36,769,0.4609375
37,764,0.4375
38,769,0.125
39,782,0.0625
40,786,0.0625
41,811,1.0
42,825,1.0
43,833,0.0283203125
44,830,0.9375
45,826,0.99609375
46,830,0.97265625
47,841,0.958984375
48,853,0.0
49,853,0.0
50,837,0.1767578125
51,844,0.15625
52,865,0.15625
53,898,0.125
54,933,0.5263671875
55,873,0.53125
56,881,0.4609375
57,914,1.0
58,926,0.048828125
59,973,0.2724609375
60,1049,0.109375
61,1103,0.04296875
62,1170,0.00390625
63,1218,0.4814453125
64,1102,0.21875
65,892,0.890625
66,965,0.958984375
67,963,0.921875
68,956,0.7578125
69,1015,0.38671875
70,1071,0.0625
71,1070,1.0
72,1069,0.1171875
73,1069,0.8681640625
74,1058,0.4306640625
75,1058,0.234375
76,1052,0.65625
77,1052,0.65625
78,1052,0.4609375
79,1048,0.615234375
80,1036,0.84765625
81,1036,0.8203125
82,1000,0.513671875
83,1000,0.25390625
84,1000,0.0
85,990,0.9306640625
86,969,0.19921875
87,969,0.1328125
88,969,0.0390625
89,969,0.0390625
90,968,1.0
91,967,0.4609375
92,967,0.4609375
93,967,0.4609375
94,966,1.0
95,961,1.0
96,960,1.0
97,959,1.0
98,958,0.0
99,949,0.9853515625
100,948,1.0
101,945,0.36328125
102,944,1.0
103,942,0.984375
104,942,0.9765625
105,942,0.9765625
106,942,0.9765625
107,935,0.96484375
108,935,0.953125
109,935,0.9375
110,935,0.9375
111,934,1.0
112,934,1.0
113,934,1.0
114,934,1.0
115,925,0.6259765625
116,904,0.697265625
117,885,0.67578125
118,832,0.6337890625
119,827,0.828125
120,734,0.95703125
121,734,0.38671875
122,734,0.1953125
123,734,0.1875
124,733,0.1357421875
125,587,0.7265625
126,587,0.7109375
127,587,0.703125
128,587,0.703125
129,561,0.65625
130,561,0.4609375
131,561,0.0
132,544,0.322265625
133,343,0.158203125
134,343,0.015625
135,343,0.015625
136,343,0.015625
137,232,0.05859375
138,232,0.0546875
139,232,0.0390625
140,232,0.03125
141,231,1.0
142,231,1.0
143,231,1.0
144,231,1.0
145,163,0.1650390625
146,84,0.62109375
147,84,0.62109375
148,84,0.6083984375
149,4,0.00390625
150,4,0.00390625
151,4,0.00390625
152,4,0.00390625
153,3,1.0
154,2,0.9375
155,2,0.9375
156,2,0.9375
157,2,0.9375
158,1,1.0
159,0,1.0
160,0,0.0
