,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,9,0.359375
3,0,0.1015625
4,31,0.2578125
5,5,0.234375
6,8,0.0625
7,0,0.0
8,0,0.0
9,3,0.30078125
10,0,0.0
11,4,0.4990234375
12,3,0.5078125
13,0,0.5078125
14,8,0.5
15,0,0.140625
16,0,0.0
17,0,0.0
18,0,0.0
19,4,0.5009765625
20,93,0.0078125
21,117,0.0078125
22,183,0.701171875
23,84,0.37890625
24,146,0.529296875
25,54,0.4453125
26,39,0.5546875
27,18,0.6787109375
28,62,0.7734375
29,145,0.3720703125
30,223,0.873046875
31,122,0.2109375
32,125,0.0458984375
33,192,0.9326171875
34,162,0.6328125
35,210,0.6328125
36,218,0.234375
37,216,0.4423828125
38,155,0.7421875
39,161,0.3671875
40,214,0.25
41,221,0.25
42,274,0.25
43,336,0.25
44,420,0.6826171875
45,416,0.65625
46,421,0.03125
47,513,0.03125
48,556,0.03125
49,556,0.021484375
50,551,0.6943359375
51,493,0.8505859375
52,470,0.66015625
53,470,0.5732421875
54,470,0.421875
55,470,0.0625
56,470,0.0625
57,458,0.482421875
58,451,0.25
59,409,0.640625
60,409,0.2890625
61,409,0.125
62,409,0.125
63,409,0.125
64,409,0.125
65,399,0.5703125
66,434,0.46875
67,458,0.0625
68,395,0.2705078125
69,402,0.6337890625
70,324,0.2294921875
71,261,0.5703125
72,277,0.5703125
73,368,0.0146484375
74,383,0.1103515625
75,428,0.099609375
76,439,0.158203125
77,428,0.5009765625
78,297,0.4609375
79,297,0.24609375
80,296,0.439453125
81,300,0.5380859375
82,168,0.287109375
83,168,0.28125
84,168,0.1875
85,168,0.1875
86,168,0.1875
87,168,0.09375
88,164,0.0087890625
89,157,0.0
90,149,0.0
91,66,0.1123046875
92,42,0.0263671875
93,29,0.484375
94,18,0.5625
95,14,0.546875
96,11,0.142578125
97,9,0.501953125
98,0,0.0
