,queue jobs,utilization
0,0,0.205078125
1,21,0.638671875
2,0,0.037109375
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,0,0.306640625
9,4,0.439453125
10,0,0.21484375
11,0,0.4140625
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1484375
18,0,0.1572265625
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1650390625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.1025390625
33,0,0.35546875
34,9,0.8349609375
35,9,0.880859375
36,19,0.9765625
37,21,0.9404296875
38,17,0.8837890625
39,12,0.916015625
40,12,0.720703125
41,12,0.7041015625
42,19,0.697265625
43,59,0.6962890625
44,99,0.5009765625
45,129,0.5009765625
46,157,0.5009765625
47,173,0.5009765625
48,177,0.5009765625
49,171,0.724609375
50,139,0.5390625
51,133,0.5751953125
52,160,0.6953125
53,208,0.654296875
54,176,0.7041015625
55,198,0.6298828125
56,245,0.6298828125
57,292,0.93359375
58,254,0.4970703125
59,218,0.4541015625
60,179,0.923828125
61,142,0.794921875
62,84,0.3125
63,76,0.609375
64,81,0.6533203125
65,60,0.986328125
66,44,0.845703125
67,53,0.779296875
68,53,0.763671875
69,51,0.9384765625
70,21,0.4052734375
71,16,0.7802734375
72,55,0.9150390625
73,77,0.9658203125
74,102,0.9736328125
75,81,0.7822265625
76,68,0.759765625
77,66,0.9306640625
78,61,0.9892578125
79,30,0.8427734375
80,37,0.77734375
81,49,0.77734375
82,53,0.783203125
83,38,0.927734375
84,34,0.888671875
85,31,0.919921875
86,31,0.9111328125
87,31,0.892578125
88,14,0.9990234375
89,26,0.919921875
90,22,0.9990234375
91,22,0.9990234375
92,23,0.8701171875
93,14,0.9755859375
94,13,0.9765625
95,13,0.876953125
96,21,0.97265625
97,37,1.0
98,113,0.765625
99,190,0.8447265625
100,215,0.9619140625
101,215,0.9697265625
102,205,0.9716796875
103,210,0.9345703125
104,210,0.9248046875
105,203,0.9404296875
106,175,0.775390625
107,173,0.90234375
108,75,0.861328125
109,92,0.9580078125
110,74,0.841796875
111,82,0.7470703125
112,80,0.7822265625
113,65,0.6083984375
114,89,0.615234375
115,132,0.8427734375
116,149,0.7802734375
117,176,0.7802734375
118,182,0.6357421875
119,188,0.6357421875
120,180,0.990234375
121,104,0.6591796875
122,89,0.7783203125
123,63,0.9501953125
124,40,0.912109375
125,53,0.8408203125
126,64,0.8408203125
127,153,0.8408203125
128,172,0.8095703125
129,172,0.6630859375
130,172,0.6005859375
131,172,0.5380859375
132,157,0.9658203125
133,170,0.8095703125
134,198,0.6064453125
135,289,0.6015625
136,321,0.5927734375
137,337,0.5927734375
138,343,0.576171875
139,359,0.5732421875
140,359,0.572265625
141,359,0.572265625
142,359,0.572265625
143,380,0.947265625
144,369,0.9521484375
145,213,0.5400390625
146,217,0.7958984375
147,221,0.9306640625
148,201,0.7685546875
149,190,0.65625
150,184,0.8173828125
151,184,0.8154296875
152,187,0.79296875
153,192,0.8603515625
154,192,0.677734375
155,195,0.462890625
156,169,0.9833984375
157,80,0.658203125
158,73,0.759765625
159,89,0.9365234375
160,103,0.93359375
161,113,0.9326171875
162,115,0.9013671875
163,92,0.908203125
164,78,0.994140625
165,78,0.8134765625
166,61,0.818359375
167,58,1.0
168,57,0.826171875
169,57,0.7900390625
170,57,0.7578125
171,51,0.8427734375
172,33,0.7724609375
173,33,0.6474609375
174,33,0.6240234375
175,33,0.6240234375
176,32,0.8203125
177,32,0.818359375
178,32,0.8173828125
179,31,0.9814453125
180,30,0.953125
181,2,0.779296875
182,2,0.62890625
183,2,0.62890625
184,0,0.40234375
185,0,0.35546875
186,0,0.0009765625
187,0,0.0009765625
188,0,0.0
