,queue jobs,utilization
0,0,0.25
1,0,0.25
2,0,0.25
3,0,0.25
4,0,0.25
5,0,0.25
6,0,0.25
7,0,0.25
8,0,0.25
9,0,0.25
10,0,0.25
11,0,0.25
12,0,0.25
13,0,0.25
14,0,0.25
15,0,0.25
16,0,0.25
17,0,0.375
18,0,0.375
19,0,0.375
20,0,0.375
21,0,0.375
22,0,0.375
23,0,0.375
24,0,0.375
25,0,0.375
26,0,0.375
27,0,0.625
28,0,0.625
29,0,0.625
30,0,0.625
31,0,0.625
32,4,0.625
33,19,0.625
34,43,0.625
35,53,0.625
36,64,0.625
37,68,0.625
38,75,0.625
39,151,0.6259765625
40,115,0.9775390625
41,131,0.9853515625
42,132,0.9853515625
43,141,0.9853515625
44,153,0.9853515625
45,158,0.9853515625
46,177,0.9853515625
47,180,0.9775390625
48,201,0.9775390625
49,215,0.9775390625
50,222,0.984375
51,227,0.984375
52,244,0.984375
53,252,0.984375
54,255,0.984375
55,259,0.984375
56,270,0.984375
57,276,0.984375
58,294,0.984375
59,305,0.984375
60,309,0.984375
61,317,0.984375
62,322,0.984375
63,325,0.984375
64,338,0.984375
65,345,0.984375
66,351,0.984375
67,346,0.984375
68,348,0.9765625
69,346,0.984375
70,341,0.984375
71,339,0.984375
72,335,0.984375
73,334,0.9814453125
74,334,0.984375
75,327,0.984375
76,324,0.984375
77,326,0.984375
78,368,0.984375
79,428,0.984375
80,426,0.984375
81,427,0.984375
82,428,0.984375
83,429,0.984375
84,430,0.984375
85,430,0.984375
86,346,0.9638671875
87,345,0.970703125
88,342,0.986328125
89,340,0.986328125
90,337,0.986328125
91,335,0.986328125
92,334,0.986328125
93,330,0.994140625
94,330,0.994140625
95,329,0.962890625
96,320,0.955078125
97,316,0.931640625
98,311,0.9697265625
99,300,0.970703125
100,299,0.970703125
101,296,0.978515625
102,295,0.978515625
103,275,0.986328125
104,269,0.978515625
105,268,0.978515625
106,266,0.978515625
107,265,0.986328125
108,261,0.978515625
109,257,0.986328125
110,257,0.978515625
111,253,0.978515625
112,249,0.720703125
113,249,0.673828125
114,249,0.650390625
115,249,0.634765625
116,249,0.595703125
117,249,0.564453125
118,251,0.556640625
119,351,0.541015625
120,351,0.517578125
121,343,0.8525390625
122,317,0.8916015625
123,269,0.9072265625
124,230,0.978515625
125,215,0.9931640625
126,214,0.9462890625
127,209,0.9462890625
128,194,0.9931640625
129,193,0.9462890625
130,193,0.8369140625
131,193,0.8212890625
132,192,0.9306640625
133,167,0.9853515625
134,164,0.9853515625
135,161,0.9853515625
136,160,0.9775390625
137,160,0.9619140625
138,161,0.9384765625
139,160,0.9228515625
140,160,0.9072265625
