,queue jobs,utilization
0,0,0.125
1,0,0.5498046875
2,12,0.71875
3,12,0.53125
4,14,1.0
5,31,1.0
6,22,0.65625
7,0,0.25
8,0,0.0
9,0,0.0
10,1,0.96875
11,31,0.53125
12,9,0.6875
13,7,0.986328125
14,0,0.96875
15,0,0.65625
16,0,0.40625
17,1,0.626953125
18,26,1.0
19,52,1.0
20,74,0.4814453125
21,118,0.6875
22,159,1.0
23,181,0.90625
24,37,0.71875
25,31,0.880859375
26,41,0.75
27,105,0.875
28,152,1.0
29,222,0.75
30,276,1.0
31,167,0.90625
32,59,0.953125
33,40,0.65625
34,20,0.875
35,1,0.78125
36,0,0.6875
37,0,0.25
38,0,0.5625
39,0,0.5
40,0,0.8134765625
41,0,0.875
42,0,0.625
43,5,0.634765625
44,0,0.3623046875
45,0,0.375
46,0,0.4375
47,0,0.5
48,0,0.3125
49,0,0.21875
50,0,0.34375
51,0,0.21875
52,0,0.09375
53,0,0.0625
54,0,0.5625
55,1,0.84375
56,8,0.712890625
57,11,0.65625
58,12,0.5625
59,0,0.78125
60,7,0.84375
61,0,0.40625
62,1,0.1904296875
63,9,0.90625
64,19,1.0
65,59,0.875
66,96,1.0
67,63,0.90625
68,2,0.8125
69,0,0.369140625
70,0,0.0
