,queue jobs,utilization
0,2,0.087890625
1,0,0.921875
2,0,0.921875
3,0,0.921875
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,0,0.171875
23,4,0.171875
24,10,0.171875
25,10,0.9765625
26,23,0.86328125
27,42,0.9833984375
28,102,0.7578125
29,45,0.87890625
30,80,0.4296875
31,478,0.203125
32,536,0.8828125
33,56,0.712890625
34,71,0.53125
35,78,0.9453125
36,83,0.98046875
37,82,0.9921875
38,96,1.0
39,102,0.9921875
40,108,0.01171875
41,121,1.0
42,127,0.9375
43,130,1.0
44,143,1.0
45,152,0.96875
46,124,0.2265625
47,146,0.0712890625
48,149,0.03515625
49,185,0.87109375
50,202,0.96875
51,180,1.0
52,184,0.5703125
53,208,0.8046875
54,327,0.84375
55,455,0.8984375
56,500,0.9921875
57,376,0.5
58,484,0.28515625
59,504,0.734375
60,574,0.9375
61,616,0.984375
62,494,0.6015625
63,481,0.796875
64,438,0.8447265625
65,92,0.5703125
66,92,0.40625
67,91,0.78515625
68,90,0.98828125
69,90,0.92578125
70,90,0.4609375
71,87,0.921875
72,87,0.921875
73,87,0.921875
74,86,0.5
75,83,0.921875
76,83,0.921875
77,83,0.921875
78,81,1.0
79,78,1.0
80,77,1.0
81,76,1.0
82,71,1.0
83,68,1.0
84,64,1.0
85,62,1.0
86,61,1.0
87,57,1.0
88,46,1.0
89,45,1.0
90,44,1.0
91,43,1.0
92,39,1.0
93,38,1.0
94,37,1.0
95,36,1.0
96,35,1.0
97,34,1.0
98,33,1.0
99,32,1.0
100,31,1.0
101,30,0.9765625
102,30,0.9765625
103,30,0.9765625
104,30,0.9765625
105,29,0.9375
106,29,0.9375
107,29,0.9375
108,29,0.9375
109,29,0.044921875
110,28,1.0
111,28,1.0
112,28,1.0
113,28,1.0
114,25,1.0
115,21,0.5
116,20,0.9375
117,13,0.703125
118,13,0.703125
119,13,0.703125
120,13,0.703125
121,13,0.703125
122,12,0.814453125
123,10,0.4609375
124,9,0.921875
125,8,0.9609375
126,8,0.4609375
127,6,0.9375
128,6,0.9375
129,6,0.9375
130,6,0.9375
131,6,0.9375
132,4,1.0
133,4,1.0
134,4,1.0
135,4,1.0
136,3,1.0
137,3,1.0
138,2,1.0
139,1,1.0
140,0,0.9375
141,0,0.9375
142,0,0.9375
143,0,0.9375
144,0,0.0
