,queue jobs,utilization
0,0,0.005859375
1,0,0.08203125
2,0,0.33203125
3,0,0.14453125
4,3,0.47265625
5,12,0.50390625
6,19,0.3203125
7,11,0.513671875
8,17,0.578125
9,19,0.2431640625
10,0,0.27734375
11,0,0.31640625
12,1,0.4140625
13,0,0.03125
14,5,0.51171875
15,2,0.5205078125
16,1,0.40234375
17,2,0.234375
18,1,0.06640625
19,3,0.5263671875
20,9,0.5693359375
21,5,0.5546875
22,20,0.2509765625
23,28,0.58203125
24,35,0.337890625
25,34,0.4013671875
26,30,0.30859375
27,33,0.4267578125
28,39,0.205078125
29,40,0.0234375
30,44,0.51953125
31,43,0.46875
32,43,0.4833984375
33,62,0.25
34,59,0.44140625
35,64,0.26953125
36,70,0.515625
37,43,0.3759765625
38,37,0.47265625
39,45,0.328125
40,35,0.60546875
41,24,0.5625
42,33,0.6220703125
43,24,0.6181640625
44,14,0.5703125
45,27,0.5625
46,37,0.3125
47,37,0.21484375
48,38,0.5029296875
49,23,0.2490234375
50,30,0.5234375
51,29,0.625
52,46,0.515625
53,54,0.46875
54,53,0.287109375
55,51,0.56640625
56,59,0.1611328125
57,69,0.509765625
58,79,0.62890625
59,78,0.40625
60,88,0.537109375
61,78,0.390625
62,81,0.4345703125
63,89,0.3818359375
64,97,0.515625
65,105,0.30078125
66,98,0.361328125
67,88,0.357421875
68,83,0.6015625
69,93,0.548828125
70,90,0.3359375
71,96,0.5390625
72,102,0.5703125
73,114,0.5
74,109,0.4453125
75,120,0.25
76,131,0.3603515625
77,131,0.5869140625
78,123,0.1953125
79,126,0.3330078125
80,126,0.6181640625
81,129,0.173828125
82,135,0.2646484375
83,142,0.3984375
84,131,0.34375
85,140,0.2841796875
86,152,0.478515625
87,145,0.63671875
88,149,0.5166015625
89,146,0.33203125
90,151,0.2890625
91,161,0.595703125
92,170,0.2578125
93,177,0.30078125
94,186,0.50390625
95,175,0.634765625
96,172,0.57421875
97,186,0.515625
98,198,0.25390625
99,208,0.50390625
100,208,0.306640625
101,229,0.501953125
102,228,0.51171875
103,238,0.50390625
104,243,0.544921875
105,251,0.39453125
106,259,0.390625
107,265,0.47265625
108,263,0.5
109,247,0.2021484375
110,230,0.2578125
111,224,0.359375
112,201,0.55078125
113,185,0.63671875
114,175,0.25
115,153,0.5341796875
116,137,0.515625
117,120,0.515625
118,105,0.2802734375
119,87,0.578125
120,54,0.384765625
121,32,0.5859375
122,20,0.6123046875
123,0,0.5791015625
124,0,0.0
