,queue jobs,utilization
0,0,0.25
1,0,0.25
2,0,0.375
3,0,0.625
4,63,0.625
5,185,0.625
6,250,0.625
7,324,0.625
8,331,0.380859375
9,384,0.375
10,424,0.125
11,492,0.5
12,532,0.5
13,533,0.5
14,534,0.5
15,601,0.5
16,636,0.5
17,629,0.45703125
18,711,0.1875
19,708,0.18359375
20,688,0.4765625
21,628,0.40625
22,612,0.546875
23,612,0.3212890625
24,613,0.052734375
25,632,0.0
26,580,0.2421875
27,576,0.2421875
28,542,0.2607421875
29,506,0.044921875
30,506,0.0009765625
31,506,0.0009765625
32,506,0.0
33,478,0.1279296875
34,453,0.359375
35,430,0.0
36,403,0.4033203125
37,403,0.0009765625
38,408,0.0009765625
39,427,0.0009765625
40,511,0.0009765625
41,566,0.0009765625
42,592,0.0009765625
43,604,0.0
44,571,0.001953125
45,574,0.4765625
46,536,0.3203125
47,506,0.5078125
48,505,0.58984375
49,476,0.53125
50,525,0.3857421875
51,594,0.056640625
52,739,0.0
53,757,0.548828125
54,752,0.6484375
55,758,0.6572265625
56,749,0.640625
57,742,0.65625
58,763,0.65625
59,794,0.6484375
60,825,0.1826171875
61,895,0.5087890625
62,918,0.5634765625
63,890,0.5888671875
64,865,0.6025390625
65,843,0.5078125
66,820,0.17578125
67,819,0.1015625
68,831,0.09375
69,835,0.03125
70,835,0.03125
71,844,0.0
72,1007,0.0
73,966,0.126953125
74,922,0.5322265625
75,894,0.0
76,888,0.0947265625
77,910,0.25
78,916,0.0859375
79,907,0.0
80,880,0.0361328125
81,852,0.125
82,852,0.0
83,819,0.0
84,786,0.3984375
85,784,0.5
86,774,0.25
87,772,0.0244140625
88,772,0.0
89,721,0.5888671875
90,721,0.0
91,650,0.0712890625
92,616,0.0
93,604,0.0
94,589,0.28125
95,589,0.03125
96,589,0.0
97,564,0.515625
98,555,0.5
99,555,0.5
100,555,0.375
101,555,0.375
102,555,0.375
103,555,0.125
104,555,0.0
105,526,0.1650390625
106,520,0.125
107,520,0.125
108,520,0.125
109,520,0.125
110,520,0.125
111,520,0.125
112,520,0.125
113,513,0.125
114,513,0.125
115,513,0.125
116,513,0.125
117,513,0.125
118,513,0.125
119,513,0.125
120,506,0.03125
121,506,0.03125
122,506,0.03125
123,506,0.03125
124,506,0.03125
125,506,0.03125
126,506,0.0
127,489,0.0
128,471,0.0
129,430,0.2646484375
130,430,0.0146484375
131,430,0.0146484375
132,430,0.0146484375
133,430,0.0068359375
134,430,0.0068359375
135,430,0.0
136,373,0.359375
137,368,0.3828125
138,368,0.3828125
139,368,0.3828125
140,368,0.3828125
141,334,0.53125
142,334,0.28125
143,334,0.15625
144,334,0.15625
145,334,0.15625
146,334,0.03125
147,334,0.0
148,316,0.0
149,295,0.28125
150,278,0.2578125
151,278,0.2578125
152,278,0.2578125
153,278,0.2578125
154,278,0.2578125
155,278,0.2578125
156,278,0.2578125
157,278,0.0
158,161,0.025390625
159,33,0.3984375
160,20,0.4560546875
161,20,0.2529296875
162,20,0.25
163,20,0.25
164,20,0.25
165,20,0.13671875
166,20,0.0
