,queue jobs,utilization
0,0,0.125
1,22,0.166015625
2,65,0.318359375
3,90,0.4501953125
4,127,0.525390625
5,150,0.36328125
6,134,0.4833984375
7,144,0.4169921875
8,143,0.5
9,88,0.30078125
10,52,0.34375
11,77,0.21875
12,108,0.15625
13,144,0.125
14,171,0.5
15,213,0.5908203125
16,209,0.2490234375
17,201,0.6025390625
18,178,0.408203125
19,188,0.400390625
20,213,0.232421875
21,219,0.3486328125
22,240,0.25
23,264,0.65625
24,271,0.5078125
25,288,0.5341796875
26,268,0.125
27,297,0.5
28,311,0.5283203125
29,311,0.375
30,322,0.5
31,373,0.5
32,424,0.6533203125
33,439,0.59375
34,482,0.119140625
35,525,0.5
36,569,0.5
37,611,0.5
38,612,0.4716796875
39,601,0.46875
40,595,0.28125
41,610,0.625
42,596,0.3486328125
43,574,0.375
44,565,0.333984375
45,553,0.4931640625
46,540,0.5693359375
47,545,0.5
48,563,0.25
49,556,0.533203125
50,518,0.439453125
51,513,0.5107421875
52,486,0.400390625
53,413,0.1953125
54,411,0.3271484375
55,390,0.3681640625
56,396,0.25
57,390,0.154296875
58,369,0.5625
59,319,0.3154296875
60,340,0.3310546875
61,380,0.625
62,363,0.529296875
63,380,0.40625
64,394,0.4951171875
65,376,0.5
66,387,0.4375
67,396,0.4521484375
68,386,0.2978515625
69,395,0.576171875
70,419,0.4091796875
71,464,0.375
72,491,0.375
73,526,0.3125
74,547,0.2900390625
75,532,0.625
76,522,0.353515625
77,505,0.3935546875
78,480,0.4287109375
79,453,0.5126953125
80,441,0.4375
81,434,0.1708984375
82,414,0.2021484375
83,379,0.1875
84,372,0.25
85,354,0.3447265625
86,331,0.537109375
87,293,0.4375
88,283,0.287109375
89,264,0.625
90,263,0.625
91,233,0.59375
92,224,0.61328125
93,215,0.5625
94,215,0.25
95,200,0.5048828125
96,177,0.25
97,161,0.2587890625
98,141,0.375
99,131,0.53125
100,125,0.5234375
101,101,0.1875
102,78,0.4375
103,54,0.55078125
104,39,0.3017578125
105,15,0.55859375
106,0,0.0
