,queue jobs,utilization
0,1,0.4609375
1,1,0.4609375
2,1,0.4609375
3,0,0.4609375
4,0,0.4609375
5,0,0.4609375
6,0,0.4609375
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.109375
21,0,0.171875
22,4,0.171875
23,12,0.171875
24,32,0.0625
25,61,0.0
26,103,0.34375
27,109,0.34375
28,115,0.3642578125
29,179,0.224609375
30,230,0.1015625
31,270,0.03125
32,416,0.0
33,564,0.0
34,676,0.0087890625
35,690,0.0
36,667,0.6318359375
37,666,0.6171875
38,680,0.6171875
39,585,0.15625
40,612,0.015625
41,628,0.015625
42,636,0.01171875
43,648,0.0
44,610,0.3916015625
45,614,0.1015625
46,528,0.248046875
47,192,0.1982421875
48,156,0.61328125
49,174,0.65625
50,175,0.26171875
51,198,0.21875
52,229,0.03125
53,273,0.03125
54,279,0.0
55,276,0.30859375
56,308,0.12890625
57,387,0.06640625
58,478,0.0
59,523,0.19921875
60,589,0.12890625
61,662,0.0
62,679,0.5
63,742,0.23046875
64,818,0.4765625
65,880,0.5234375
66,904,0.169921875
67,923,0.546875
68,969,0.421875
69,1011,0.234375
70,1011,0.0
71,996,0.47265625
72,992,0.46484375
73,992,0.05078125
74,982,0.42578125
75,976,0.4609375
76,976,0.4609375
77,973,0.51171875
78,973,0.0078125
79,973,0.0
80,949,0.46484375
81,938,0.16796875
82,935,0.578125
83,935,0.5703125
84,862,0.26953125
85,862,0.21875
86,862,0.0625
87,862,0.0625
88,862,0.0
89,833,0.5859375
90,833,0.5859375
91,826,0.3671875
92,826,0.2421875
93,826,0.0
94,791,0.1640625
95,688,0.32421875
96,688,0.2578125
97,688,0.1953125
98,688,0.125
99,688,0.0
100,572,0.640625
101,572,0.4609375
102,568,0.5009765625
103,401,0.16796875
104,401,0.0
105,224,0.10546875
106,140,0.5927734375
107,128,0.609375
108,128,0.5390625
109,128,0.0
110,75,0.2080078125
111,75,0.125
112,75,0.0
