,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,45,0.0625
3,46,0.0625
4,144,0.0625
5,153,0.0625
6,156,0.0
7,70,0.234375
8,5,0.171875
9,20,0.400390625
10,28,0.0
11,25,0.1201171875
12,31,0.3173828125
13,37,0.0
14,8,0.5078125
15,10,0.22265625
16,0,0.125
17,0,0.0625
18,9,0.4921875
19,61,0.1279296875
20,17,0.1845703125
21,85,0.0078125
22,155,0.0
23,157,0.455078125
24,111,0.267578125
25,99,0.455078125
26,45,0.5625
27,99,0.6484375
28,229,0.6484375
29,307,0.3984375
30,289,0.1875
31,299,0.376953125
32,387,0.0
33,369,0.240234375
34,295,0.25
35,303,0.25
36,306,0.0
37,309,0.0
38,266,0.0
39,285,0.2490234375
40,270,0.595703125
41,308,0.6484375
42,357,0.421875
43,489,0.5
44,486,0.25
45,491,0.25
46,626,0.25
47,564,0.2265625
48,564,0.1640625
49,564,0.0
50,525,0.26171875
51,506,0.3515625
52,483,0.521484375
53,462,0.6484375
54,454,0.5859375
55,454,0.3828125
56,453,0.4453125
57,450,0.3857421875
58,443,0.4736328125
59,395,0.4140625
60,385,0.525390625
61,375,0.62109375
62,351,0.640625
63,284,0.6171875
64,304,0.263671875
65,208,0.5546875
66,211,0.6328125
67,162,0.4775390625
68,158,0.490234375
69,169,0.400390625
70,110,0.2451171875
71,199,0.109375
72,191,0.40625
73,275,0.314453125
74,342,0.3115234375
75,380,0.0
76,379,0.0
77,262,0.4462890625
78,255,0.12890625
79,170,0.1875
80,170,0.1875
81,170,0.1875
82,170,0.2822265625
83,155,0.59375
84,155,0.0
85,124,0.1396484375
86,45,0.59375
87,35,0.15625
88,35,0.140625
89,35,0.125
90,35,0.09375
91,32,0.0
92,22,0.3994140625
93,17,0.5
94,15,0.4765625
95,12,0.5
96,9,0.5
97,6,0.0263671875
98,0,0.0107421875
99,0,0.0
