,queue jobs,utilization
0,0,0.205078125
1,24,0.3671875
2,0,0.037109375
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,7,0.1474609375
9,16,0.27734375
10,41,0.05859375
11,4,0.484375
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1572265625
18,0,0.3095703125
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1650390625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.0947265625
33,11,0.4169921875
34,30,0.5693359375
35,40,0.630859375
36,44,0.5791015625
37,45,0.5234375
38,49,0.5517578125
39,47,0.5634765625
40,46,0.6337890625
41,62,0.6259765625
42,103,0.6259765625
43,152,0.6259765625
44,170,0.6259765625
45,205,0.6259765625
46,205,0.6259765625
47,218,0.6259765625
48,211,0.5703125
49,186,0.51953125
50,247,0.30859375
51,307,0.2998046875
52,357,0.177734375
53,380,0.4697265625
54,393,0.279296875
55,406,0.5263671875
56,430,0.470703125
57,422,0.478515625
58,418,0.587890625
59,382,0.5419921875
60,358,0.62109375
61,378,0.62109375
62,387,0.2998046875
63,392,0.2216796875
64,391,0.6591796875
65,340,0.3193359375
66,297,0.3603515625
67,252,0.5673828125
68,243,0.6630859375
69,255,0.44140625
70,271,0.2880859375
71,257,0.0634765625
72,246,0.4814453125
73,240,0.3212890625
74,240,0.369140625
75,245,0.171875
76,245,0.171875
77,244,0.65625
78,228,0.6435546875
79,241,0.6435546875
80,244,0.607421875
81,244,0.607421875
82,234,0.615234375
83,192,0.6083984375
84,174,0.5712890625
85,172,0.5947265625
86,178,0.6572265625
87,182,0.6025390625
88,182,0.556640625
89,167,0.5625
90,159,0.580078125
91,154,0.595703125
92,131,0.5546875
93,134,0.5927734375
94,154,0.623046875
95,211,0.61328125
96,291,0.662109375
97,330,0.662109375
98,344,0.662109375
99,349,0.662109375
100,355,0.662109375
101,350,0.548828125
102,350,0.5166015625
103,362,0.455078125
104,362,0.455078125
105,388,0.455078125
106,407,0.455078125
107,416,0.455078125
108,424,0.455078125
109,424,0.431640625
110,426,0.431640625
111,480,0.5380859375
112,498,0.5693359375
113,511,0.5693359375
114,527,0.646484375
115,537,0.6337890625
116,530,0.5390625
117,528,0.6591796875
118,517,0.4814453125
119,515,0.4580078125
120,526,0.4580078125
121,543,0.3955078125
122,556,0.3955078125
123,651,0.3720703125
124,662,0.3330078125
125,662,0.3330078125
126,662,0.306640625
127,658,0.666015625
128,651,0.654296875
129,662,0.638671875
