,queue jobs,utilization
0,0,0.015625
1,0,0.14453125
2,0,0.34765625
3,0,0.41015625
4,8,0.6484375
5,15,0.76171875
6,3,0.61328125
7,6,0.8515625
8,0,0.1640625
9,0,0.2734375
10,0,0.33203125
11,0,0.41796875
12,1,0.296875
13,0,0.04296875
14,3,0.5078125
15,0,0.08203125
16,0,0.09765625
17,0,0.43359375
18,1,0.8203125
19,0,0.02734375
20,17,0.50390625
21,20,0.8515625
22,7,0.427734375
23,11,0.71484375
24,7,0.875
25,4,0.5830078125
26,19,0.5
27,8,0.716796875
28,12,0.546875
29,8,0.69921875
30,16,0.828125
31,0,0.7109375
32,0,0.46875
33,0,0.47265625
34,0,0.0078125
35,1,0.3359375
36,0,0.36328125
37,1,0.5625
38,2,0.66015625
39,5,0.4951171875
40,0,0.26953125
41,7,0.828125
42,9,0.6484375
43,2,0.609375
44,0,0.279296875
45,0,0.140625
46,10,0.7890625
47,8,0.578125
48,10,0.734375
49,12,0.7421875
50,18,0.5625
51,26,0.75
52,24,0.7109375
53,29,0.89453125
54,11,0.59375
55,21,0.75
56,23,0.6328125
57,28,0.515625
58,28,0.421875
59,19,0.48828125
60,3,0.4814453125
61,11,0.81640625
62,0,0.56640625
63,4,0.5126953125
64,4,0.82421875
65,5,0.96484375
66,14,0.59375
67,20,0.84765625
68,3,0.8359375
69,5,0.50390625
70,1,0.70703125
71,12,0.8125
72,11,0.72265625
73,10,0.83203125
74,6,0.6044921875
75,9,0.83984375
76,6,0.4609375
77,5,0.6640625
78,11,0.5537109375
79,9,0.72265625
80,18,0.7216796875
81,9,0.71875
82,1,0.5078125
83,3,0.64453125
84,11,0.56640625
85,12,0.58984375
86,23,0.83203125
87,11,0.85546875
88,15,0.66015625
89,25,0.6748046875
90,42,0.740234375
91,51,0.5859375
92,46,0.65625
93,56,0.5234375
94,64,0.5
95,77,0.47265625
96,71,0.703125
97,72,0.640625
98,62,0.431640625
99,61,0.875
100,15,0.6201171875
101,31,0.3037109375
102,37,0.5
103,21,0.64453125
104,0,0.609375
105,0,0.0
