,queue jobs,utilization
0,0,0.125
1,16,0.46875
2,78,0.21875
3,134,0.3515625
4,155,0.71875
5,123,0.5517578125
6,58,0.6376953125
7,18,0.5625
8,10,0.75
9,10,0.5
10,52,0.5
11,79,0.5625
12,104,0.634765625
13,130,0.65625
14,82,0.65625
15,47,0.53125
16,18,0.65625
17,22,0.375
18,73,0.5
19,115,0.5
20,151,0.341796875
21,149,0.5
22,219,0.5
23,260,0.75
24,276,0.625
25,273,0.673828125
26,271,0.65625
27,296,0.5625
28,347,0.71875
29,368,0.625
30,406,0.6875
31,394,0.5625
32,388,0.65625
33,381,0.59375
34,298,0.5888671875
35,238,0.65625
36,175,0.4375
37,173,0.5
38,176,0.5
39,183,0.5
40,196,0.5
41,212,0.5
42,223,0.5
43,239,0.5
44,240,0.5
45,224,0.625
46,188,0.5322265625
47,167,0.4990234375
48,161,0.625
49,142,0.625
50,143,0.5625
51,128,0.625
52,110,0.625
53,96,0.8125
54,83,0.8125
55,95,0.60546875
56,135,0.65625
57,159,0.65625
58,164,0.625
59,137,0.46875
60,152,0.201171875
61,164,0.5
62,159,0.5
63,162,0.625
64,166,0.7880859375
65,183,0.625
66,214,0.625
67,224,0.90625
68,116,0.6474609375
69,103,0.6884765625
70,97,0.5361328125
71,93,0.875
72,60,0.65625
73,17,0.7265625
74,11,0.5
75,11,0.5
76,4,0.5
77,2,0.5
78,0,0.5
79,0,0.0
