,queue jobs,utilization
0,2,0.1455078125
1,1,0.4609375
2,1,0.4609375
3,1,0.4609375
4,0,0.4609375
5,0,0.4609375
6,0,0.4609375
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.109375
22,0,0.171875
23,4,0.171875
24,10,0.171875
25,12,0.9296875
26,18,0.98828125
27,112,0.72265625
28,106,0.97265625
29,81,0.328125
30,126,0.2734375
31,572,0.20703125
32,553,0.59765625
33,553,0.79296875
34,527,0.4921875
35,74,0.30859375
36,79,0.671875
37,92,0.81640625
38,109,0.9609375
39,81,0.359375
40,91,0.2734375
41,92,0.5859375
42,95,0.96875
43,90,0.89453125
44,105,0.0
45,0,0.64453125
46,13,0.64453125
47,11,0.47265625
48,17,0.46875
49,54,0.4609375
50,103,0.4609375
51,103,0.953125
52,17,0.6015625
53,40,0.65625
54,220,0.59375
55,313,0.6015625
56,384,0.5703125
57,554,0.44921875
58,640,0.59375
59,658,0.53125
60,737,0.5234375
61,600,0.6513671875
62,376,0.9716796875
63,51,0.6328125
64,51,0.169921875
65,50,0.15234375
66,50,0.01953125
67,50,0.0
