,queue jobs,utilization
0,0,0.03125
1,0,0.0625
2,45,0.0625
3,46,0.0625
4,148,0.0625
5,153,0.0625
6,156,0.0625
7,157,0.0
8,0,0.03125
9,0,0.03125
10,0,0.03125
11,13,0.0
12,2,0.5078125
13,0,0.5078125
14,6,0.5703125
15,0,0.1328125
16,0,0.0
17,1,0.25390625
18,0,0.0
19,0,0.0078125
20,101,0.0078125
21,174,0.0078125
22,148,0.640625
23,43,0.6640625
24,34,0.6484375
25,30,0.6484375
26,30,0.6484375
27,33,0.328125
28,195,0.125
29,258,0.0
30,0,0.625
31,48,0.9140625
32,55,0.501953125
33,10,0.8984375
34,13,0.5234375
35,15,0.5234375
36,10,0.5234375
37,20,0.703125
38,23,0.3974609375
39,56,0.7509765625
40,6,0.8125
41,64,0.923828125
42,126,0.875
43,13,0.7265625
44,16,0.9140625
45,88,0.6640625
46,25,0.6640625
47,12,0.125
48,11,0.5
49,1,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.03125
67,23,0.015625
68,32,0.0
69,0,0.0
70,0,0.0
71,0,0.125
72,77,0.375
73,0,0.125
74,35,0.1875
75,124,0.1875
76,143,0.1875
77,148,0.125
78,157,0.125
79,169,0.09375
80,169,0.0
