,queue jobs,utilization
0,0,0.1708984375
1,14,0.4990234375
2,0,0.037109375
3,0,0.0703125
4,0,0.13671875
5,0,0.13671875
6,0,0.13671875
7,0,0.13671875
8,0,0.306640625
9,8,0.27734375
10,8,0.21484375
11,0,0.1484375
12,0,0.1484375
13,0,0.1484375
14,0,0.1484375
15,0,0.1484375
16,0,0.1484375
17,0,0.1572265625
18,0,0.1572265625
19,0,0.1572265625
20,0,0.1572265625
21,0,0.1572265625
22,0,0.1572265625
23,0,0.1572265625
24,0,0.1572265625
25,0,0.1650390625
26,0,0.1025390625
27,0,0.1025390625
28,0,0.1025390625
29,0,0.1025390625
30,0,0.1025390625
31,0,0.1025390625
32,0,0.1025390625
33,1,0.35546875
34,20,0.6767578125
35,22,0.65234375
36,33,0.7734375
37,39,0.6767578125
38,37,0.9306640625
39,23,0.916015625
40,13,0.9404296875
41,5,0.8046875
42,21,0.7861328125
43,74,0.8017578125
44,98,0.7861328125
45,114,0.75
46,121,0.6767578125
47,124,0.66796875
48,133,0.66796875
49,133,0.66796875
50,172,0.66796875
51,272,0.58984375
52,279,0.8154296875
53,290,0.8486328125
54,273,0.62109375
55,265,0.6318359375
56,250,0.6943359375
57,231,0.63671875
58,188,0.6533203125
59,180,0.7421875
60,173,0.7099609375
61,106,0.783203125
62,97,0.6552734375
63,76,0.611328125
64,81,0.853515625
65,74,0.966796875
66,53,0.99609375
67,47,0.7900390625
68,24,0.9462890625
69,35,0.609375
70,84,0.59375
71,111,0.8564453125
72,113,0.9189453125
73,112,0.9814453125
74,78,0.98046875
75,63,0.7265625
76,43,0.8046875
77,41,0.9697265625
78,53,0.95703125
79,39,0.9990234375
80,40,0.94140625
81,34,0.9697265625
82,30,0.9306640625
83,29,0.9931640625
84,28,0.8671875
85,23,0.91796875
86,18,0.85546875
87,29,0.90234375
88,31,0.87890625
89,25,0.9541015625
90,17,0.8671875
91,24,0.9541015625
92,22,0.927734375
93,22,0.927734375
94,30,0.8603515625
95,40,0.9892578125
96,174,0.970703125
97,216,0.962890625
98,64,0.7822265625
99,66,0.9013671875
100,70,0.962890625
101,37,0.88671875
102,34,0.919921875
103,32,0.9736328125
104,32,0.8720703125
105,32,0.564453125
106,58,0.5947265625
107,81,0.5322265625
108,91,0.474609375
109,90,0.537109375
110,88,0.982421875
111,81,0.9130859375
112,187,0.8427734375
113,207,0.8955078125
114,226,0.7705078125
115,232,0.9970703125
116,125,0.6396484375
117,123,0.888671875
118,119,0.79296875
119,116,0.9482421875
120,115,0.974609375
121,133,0.998046875
122,144,0.998046875
123,162,0.7333984375
124,252,0.5625
125,229,0.666015625
126,211,0.96875
127,169,0.912109375
128,153,0.8984375
129,153,0.859375
130,173,0.91796875
131,287,0.966796875
132,161,0.9951171875
133,73,0.9453125
134,90,0.716796875
135,88,0.83984375
136,86,0.9580078125
137,83,0.986328125
138,96,0.9814453125
139,99,0.9892578125
140,98,0.9736328125
141,99,0.98828125
142,108,0.9716796875
143,105,0.994140625
144,103,0.8896484375
145,103,0.8896484375
146,97,0.962890625
147,88,0.9521484375
148,86,0.9833984375
149,85,0.849609375
150,86,0.904296875
151,64,0.9560546875
152,54,0.884765625
153,51,0.892578125
154,47,0.9736328125
155,47,0.8486328125
156,58,0.90625
157,49,0.7412109375
158,56,0.8349609375
159,57,0.8818359375
160,54,0.9833984375
161,48,0.759765625
162,48,0.4482421875
163,48,0.4482421875
164,48,0.4248046875
165,48,0.4248046875
166,48,0.3623046875
167,47,0.2529296875
168,47,0.244140625
169,45,0.484375
170,42,0.662109375
171,31,0.779296875
172,26,0.724609375
173,24,0.974609375
174,23,0.998046875
175,23,0.998046875
176,22,0.8515625
177,22,0.8515625
178,13,0.6787109375
179,12,0.8505859375
180,12,0.8505859375
181,11,0.80859375
182,11,0.76171875
183,11,0.76171875
184,11,0.76171875
185,11,0.56640625
186,11,0.3583984375
187,11,0.3583984375
188,10,0.6875
189,9,0.578125
190,7,0.578125
191,7,0.578125
192,7,0.578125
193,7,0.578125
194,7,0.578125
195,7,0.578125
196,5,0.5
197,5,0.3095703125
198,1,0.5
199,0,0.0
