,queue jobs,utilization
0,1,0.0
1,1,0.0
2,3,0.0
3,4,0.375
4,3,0.0087890625
5,0,0.31640625
6,5,0.0
7,6,0.0
8,9,0.25390625
9,13,0.0
10,18,0.015625
11,20,0.05859375
12,23,0.25
13,28,0.0
14,23,0.0
15,27,0.0576171875
16,31,0.0
17,26,0.0146484375
18,28,0.0
19,29,0.0322265625
20,31,0.0
21,33,0.0
22,36,0.25
23,40,0.0
24,42,0.25
25,44,0.0
26,39,0.2607421875
27,45,0.0
28,45,0.2734375
29,48,0.0
30,48,0.2060546875
31,50,0.0
32,47,0.25390625
33,51,0.0
34,44,0.3603515625
35,46,0.099609375
36,51,0.0
37,52,0.0
38,53,0.1357421875
39,58,0.0
40,55,0.0
41,58,0.248046875
42,61,0.0
43,48,0.17578125
44,52,0.0
45,55,0.0
46,55,0.00390625
47,58,0.25
48,59,0.0
49,63,0.015625
50,68,0.0
51,69,0.0
52,72,0.0
53,71,0.23828125
54,74,0.0
55,78,0.0
56,81,0.25
57,84,0.0
58,89,0.0
59,90,0.0947265625
60,93,0.0
61,87,0.048828125
62,93,0.0
63,89,0.0
64,90,0.25
65,93,0.0
66,93,0.25
67,97,0.0
68,92,0.1181640625
69,95,0.0
70,87,0.0
71,91,0.0
72,90,0.0625
73,92,0.0
74,95,0.0
75,97,0.0
76,97,0.1748046875
77,99,0.0
78,95,0.0078125
79,98,0.0
80,96,0.0
81,97,0.2685546875
82,100,0.0
83,103,0.25
84,106,0.0
85,104,0.265625
86,107,0.0
87,102,0.328125
88,103,0.2880859375
89,108,0.0
90,109,0.25
91,112,0.0
92,107,0.1015625
93,110,0.021484375
94,112,0.0
95,113,0.0
96,116,0.25
97,122,0.0
98,103,0.3017578125
99,106,0.0
100,103,0.291015625
101,107,0.0
102,108,0.220703125
103,112,0.0
104,111,0.1796875
105,114,0.0
106,115,0.0
107,119,0.0
108,122,0.0
109,126,0.0
110,128,0.0
111,128,0.25
112,132,0.0
113,133,0.0
114,129,0.28515625
115,131,0.0751953125
116,132,0.0
117,133,0.0712890625
118,136,0.0
119,133,0.18359375
120,135,0.0087890625
121,138,0.0
122,143,0.0
123,145,0.25
124,148,0.0
125,151,0.25
126,153,0.0
127,152,0.185546875
128,156,0.0
129,153,0.0673828125
130,157,0.0
131,141,0.33203125
132,144,0.25390625
133,148,0.0
134,150,0.0
135,151,0.25
136,153,0.0
137,155,0.3125
138,157,0.0
139,152,0.08203125
140,154,0.25
141,154,0.0
142,150,0.16015625
143,142,0.0068359375
144,141,0.08984375
145,137,0.0
146,140,0.0
147,139,0.0
148,140,0.25
149,145,0.0
150,145,0.02734375
151,148,0.0
152,150,0.0
153,148,0.44140625
154,149,0.2080078125
155,152,0.0
156,153,0.3271484375
157,147,0.220703125
158,148,0.0
159,151,0.0
160,154,0.25
161,157,0.0
162,153,0.0
163,150,0.1845703125
164,148,0.25390625
165,147,0.0
166,144,0.232421875
167,144,0.0
168,140,0.0
169,134,0.390625
170,134,0.1796875
171,134,0.0859375
172,134,0.05078125
173,120,0.1044921875
174,120,0.009765625
175,111,0.0
176,110,0.15234375
177,107,0.279296875
178,107,0.0
179,106,0.2255859375
180,105,0.25
181,103,0.0
182,102,0.0
183,101,0.09765625
184,100,0.25
185,93,0.0
186,87,0.1259765625
187,87,0.0
188,86,0.0
189,84,0.2294921875
190,84,0.0
191,82,0.24609375
192,82,0.1005859375
193,81,0.25
194,81,0.0
195,79,0.0
196,77,0.0
197,74,0.0
198,71,0.181640625
199,70,0.25
200,63,0.0
201,59,0.0
202,49,0.2265625
203,49,0.1455078125
204,49,0.0
205,45,0.3056640625
206,45,0.2158203125
207,45,0.166015625
208,45,0.0
209,37,0.0625
210,34,0.205078125
211,34,0.0
212,27,0.1142578125
213,27,0.0
214,25,0.1103515625
215,25,0.0
216,22,0.0146484375
217,21,0.25
218,21,0.0
219,16,0.0
220,14,0.279296875
221,10,0.044921875
222,8,0.25
223,8,0.0
224,7,0.158203125
225,7,0.0
226,3,0.0
227,2,0.0
228,1,0.25
229,0,0.0
