,queue jobs,utilization
0,1,0.0
1,1,0.1533203125
2,0,0.25
3,1,0.0078125
4,2,0.046875
5,0,0.0625
6,17,0.0322265625
7,0,0.03125
8,0,0.03125
9,0,0.125
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.015625
14,0,0.015625
15,1,0.0
16,12,0.0
17,3,0.0
18,0,0.125
19,3,0.0
20,0,0.125
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.015625
25,0,0.03125
26,0,0.125
27,0,0.03125
28,4,0.0
29,1,0.0625
30,23,0.0
31,1,0.0146484375
32,15,0.0
33,6,0.0625
34,1,0.0
35,5,0.0
36,1,0.0625
37,5,0.0
38,16,0.0625
39,44,0.0
40,18,0.13671875
41,4,0.0390625
42,0,0.078125
43,2,0.0
44,0,0.125
45,0,0.0
46,2,0.0673828125
47,37,0.0185546875
48,41,0.0
49,79,0.0
50,68,0.0146484375
51,30,0.0166015625
52,0,0.140625
53,0,0.125
54,0,0.0625
55,3,0.0869140625
56,24,0.0
57,27,0.0673828125
58,12,0.0859375
59,0,0.0
