,queue jobs,utilization
0,1,0.0
1,0,0.0625
2,0,0.0625
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,1,0.0
18,0,0.125
19,0,0.125
20,0,0.125
21,0,0.125
22,0,0.0
23,0,0.0
24,0,0.0
25,3,0.0
26,3,0.125
27,1,0.375
28,0,0.4375
29,0,0.3125
30,0,0.126953125
31,0,0.001953125
32,0,0.017578125
33,2,0.0625
34,0,0.125
35,0,0.140625
36,0,0.1015625
37,0,0.0
38,4,0.15625
39,0,0.3125
40,0,0.3125
41,0,0.3125
42,7,0.2666015625
43,17,0.15625
44,22,0.201171875
45,33,0.4375
46,27,0.5625
47,22,0.49609375
48,22,0.6875
49,7,0.80859375
50,5,0.453125
51,11,0.2470703125
52,36,0.033203125
53,52,0.0009765625
54,64,0.0
55,64,0.091796875
56,31,0.33984375
57,0,0.29296875
58,0,0.185546875
59,0,0.232421875
60,1,0.216796875
61,0,0.19921875
62,13,0.4765625
63,0,0.57421875
64,0,0.50390625
65,0,0.46875
66,11,0.11328125
67,6,0.208984375
68,31,0.404296875
69,4,0.388671875
70,37,0.294921875
71,50,0.0625
72,50,0.0
73,41,0.037109375
74,37,0.0
75,21,0.3125
76,0,0.064453125
77,1,0.09375
78,0,0.25
79,3,0.3583984375
80,0,0.359375
81,1,0.236328125
82,0,0.15625
83,0,0.15625
84,4,0.0263671875
85,3,0.140625
86,2,0.296875
87,4,0.5
88,12,0.46875
89,12,0.59375
90,14,0.578125
91,0,0.595703125
92,0,0.455078125
93,1,0.1796875
94,2,0.296875
95,8,0.28125
96,5,0.296875
97,0,0.328125
98,0,0.189453125
99,0,0.140625
100,1,0.140625
101,0,0.0380859375
102,22,0.1572265625
103,2,0.2197265625
104,0,0.203125
105,0,0.1875
106,0,0.0625
107,0,0.140625
108,0,0.109375
109,2,0.12890625
110,10,0.234375
111,2,0.25
112,0,0.423828125
113,1,0.484375
114,0,0.45703125
115,0,0.33203125
116,0,0.283203125
117,0,0.265625
118,0,0.125
119,18,0.3125
120,21,0.34375
121,21,0.626953125
122,20,0.4697265625
123,0,0.5400390625
124,0,0.21875
125,0,0.09375
126,4,0.09375
127,6,0.15625
128,1,0.5
129,3,0.6630859375
130,0,0.75
131,5,0.625
132,4,0.515625
133,0,0.609375
134,0,0.203125
135,0,0.265625
136,0,0.267578125
137,0,0.236328125
138,2,0.244140625
139,2,0.494140625
140,1,0.546875
141,0,0.494140625
142,0,0.369140625
143,0,0.306640625
144,1,0.259765625
145,7,0.322265625
146,2,0.556640625
147,0,0.541015625
148,0,0.572265625
149,0,0.447265625
150,0,0.431640625
151,3,0.244140625
152,1,0.35546875
153,1,0.54296875
154,1,0.65234375
155,3,0.69921875
156,0,0.66796875
157,0,0.41796875
158,0,0.30859375
159,0,0.29296875
160,5,0.291015625
161,9,0.416015625
162,19,0.509765625
163,16,0.634765625
164,0,0.587890625
165,0,0.587890625
166,0,0.337890625
167,0,0.197265625
168,0,0.197265625
169,0,0.0
