,queue jobs,utilization
0,3,0.121459960938
1,7,1.0
2,13,1.0
3,0,0.649291992188
4,29,0.25
5,66,0.25
6,87,0.0628662109375
7,121,0.426513671875
8,123,1.0
9,127,1.0
10,133,1.0
11,149,0.43115234375
12,172,0.0
13,184,0.134643554688
14,193,1.0
15,202,1.0
16,219,1.0
17,222,0.794189453125
18,241,0.127319335938
19,241,1.0
20,316,1.0
21,352,0.125854492188
22,367,0.0
23,392,1.0
24,395,1.0
25,394,0.689086914062
26,392,1.0
27,387,1.0
28,386,1.0
29,404,1.0
30,416,1.0
31,431,1.0
32,479,0.40625
33,486,1.0
34,486,1.0
35,498,0.414428710938
36,509,1.0
37,525,1.0
38,569,1.0
39,630,1.0
40,682,1.0
41,712,0.101928710938
42,761,1.0
43,819,1.0
44,875,1.0
45,889,0.194091796875
46,880,1.0
47,874,0.900146484375
48,871,1.0
49,870,0.75
50,866,1.0
51,861,1.0
52,857,1.0
53,839,0.75
54,839,0.75
55,835,1.0
56,833,0.90625
57,831,0.0
58,818,0.393188476562
59,806,1.0
60,802,0.770385742188
61,789,0.188720703125
62,763,0.4375
63,763,0.25
64,763,0.25
65,754,1.0
66,754,1.0
67,750,1.0
68,747,0.75
69,746,1.0
70,719,0.78125
71,717,0.96875
72,713,0.836059570312
73,709,1.0
74,705,1.0
75,700,1.0
76,695,0.978515625
77,689,0.771484375
78,676,0.5
79,662,0.423828125
80,654,0.626342773438
81,644,0.25
82,631,0.118041992188
83,618,0.0897216796875
84,610,0.75
85,598,0.0
86,583,0.5
87,581,1.0
88,581,1.0
89,581,1.0
90,580,1.0
91,577,1.0
92,576,1.0
93,575,0.450927734375
94,574,0.1962890625
95,574,0.0
96,573,0.0
97,572,0.035888671875
98,571,0.811279296875
99,570,1.0
100,569,1.0
101,538,0.03125
102,530,1.0
103,529,0.0
104,527,1.0
105,526,1.0
106,525,1.0
107,524,0.760131835938
108,522,0.181884765625
109,521,1.0
110,506,0.25
111,498,1.0
112,473,1.0
113,469,1.0
114,465,0.9375
115,460,1.0
116,452,1.0
117,447,1.0
118,439,0.24365234375
119,436,1.0
120,433,0.0023193359375
121,429,0.0
122,424,0.5869140625
123,414,0.624145507812
124,410,0.87255859375
125,399,0.8125
126,390,0.552490234375
127,372,1.0
128,359,0.361938476562
129,346,0.692626953125
130,332,0.719970703125
131,311,1.0
132,308,1.0
133,308,1.0
134,307,1.0
135,305,1.0
136,304,1.0
137,302,1.0
138,298,0.76806640625
139,297,1.0
140,297,1.0
141,297,0.585693359375
142,290,1.0
143,284,0.79296875
144,280,1.0
145,276,1.0
146,271,1.0
147,267,1.0
148,262,1.0
149,255,0.858032226562
150,248,1.0
151,239,0.03466796875
152,230,0.75
153,222,1.0
154,202,1.0
155,196,0.25
156,188,1.0
157,183,0.25
158,182,1.0
159,172,0.7216796875
160,160,0.749145507812
161,156,0.604736328125
162,134,0.880615234375
163,127,0.5
164,122,0.818359375
165,117,0.0
166,111,0.008544921875
167,99,1.0
168,91,0.044189453125
169,85,0.989990234375
170,67,1.0
171,61,0.25
172,56,0.002197265625
173,54,0.0870361328125
174,52,0.5
175,43,0.177124023438
176,31,1.0
177,27,0.28173828125
178,0,0.307373046875
179,0,0.0
