,queue jobs,utilization
0,0,0.0
1,1,0.125
2,3,0.125
3,7,0.125
4,214,0.125
5,328,0.125
6,414,0.125
7,473,0.125
8,579,0.125
9,553,0.4375
10,550,0.6875
11,513,0.50048828125
12,514,0.76953125
13,497,0.83203125
14,485,0.76953125
15,510,0.51904296875
16,510,0.18798828125
17,509,0.00048828125
18,454,0.06298828125
19,426,0.625
20,429,0.625
21,430,0.625
22,449,0.625
23,449,0.625
24,452,0.625
25,416,0.94921875
26,307,0.99658203125
27,293,0.3720703125
28,293,0.13720703125
29,293,0.05126953125
30,293,0.04736328125
31,293,0.01611328125
32,293,0.01611328125
33,290,1.0
34,290,1.0
35,290,1.0
36,290,1.0
37,293,1.0
38,323,1.0
39,419,0.5
40,438,0.5
41,438,0.5
42,438,0.5
43,437,1.0
44,437,1.0
45,437,1.0
46,437,1.0
47,437,1.0
48,433,0.0
49,406,0.125
50,391,0.64453125
51,391,0.01953125
52,372,0.05859375
53,318,1.0
54,316,1.0
55,298,1.0
56,270,0.95703125
57,270,0.90625
58,270,0.78125
59,270,0.75
60,244,0.86328125
61,159,1.0
62,133,0.46484375
63,122,0.23828125
64,87,0.3515625
65,77,0.046875
66,60,0.103515625
67,60,0.015625
68,41,0.046875
69,21,0.0
70,13,1.0
71,11,0.0
72,7,0.484375
73,0,0.0
