,queue jobs,utilization
0,2,0.015625
1,7,0.345703125
2,18,0.09765625
3,31,0.0908203125
4,38,0.375
5,55,0.00390625
6,69,0.50390625
7,79,0.25
8,81,0.5009765625
9,95,0.25390625
10,112,0.25
11,117,0.40234375
12,131,0.291015625
13,144,0.0078125
14,152,0.0
15,163,0.08203125
16,169,0.140625
17,185,0.25390625
18,204,0.515625
19,220,0.50390625
20,218,0.2109375
21,233,0.3046875
22,232,0.0546875
23,238,0.12890625
24,249,0.125
25,252,0.30078125
26,263,0.078125
27,267,0.26953125
28,280,0.25
29,294,0.0
30,301,0.515625
31,313,0.0
32,317,0.31640625
33,326,0.25390625
34,329,0.25390625
35,328,0.01953125
36,339,0.25
37,347,0.0625
38,350,0.12890625
39,355,0.0439453125
40,371,0.25
41,386,0.5
42,397,0.25
43,415,0.25
44,424,0.5625
45,437,0.25390625
46,445,0.0625
47,451,0.03515625
48,439,0.23828125
49,447,0.4140625
50,460,0.375
51,473,0.25
52,473,0.125
53,482,0.2685546875
54,499,0.25390625
55,507,0.0
56,519,0.33203125
57,519,0.4140625
58,541,0.25
59,550,0.25390625
60,556,0.3828125
61,570,0.5
62,583,0.0
63,592,0.125
64,604,0.375
65,615,0.33203125
66,636,0.0
67,652,0.265625
68,664,0.0
69,670,0.015625
70,680,0.25
71,693,0.5283203125
72,702,0.25
73,713,0.25
74,722,0.265625
75,728,0.06640625
76,737,0.5068359375
77,740,0.06640625
78,755,0.375
79,762,0.25
80,770,0.14453125
81,778,0.31640625
82,781,0.451171875
83,797,0.5
84,809,0.31640625
85,827,0.08203125
86,839,0.25
87,852,0.08984375
88,871,0.0625
89,884,0.26953125
90,885,0.078125
91,888,0.2578125
92,896,0.31640625
93,902,0.2626953125
94,920,0.5
95,926,0.33203125
96,944,0.5
97,958,0.265625
98,969,0.01953125
99,977,0.01171875
100,992,0.25390625
101,1003,0.390625
102,1017,0.328125
103,1029,0.0
104,1046,0.0
105,1067,0.25390625
106,1081,0.390625
107,1089,0.33203125
108,1077,0.3984375
109,1073,0.25390625
110,1067,0.375
111,1065,0.25390625
112,1061,0.25
113,1050,0.31640625
114,1042,0.44140625
115,1033,0.25
116,1025,0.0
117,1019,0.25
118,1005,0.3828125
119,1000,0.25390625
120,990,0.015625
121,972,0.1669921875
122,969,0.0
123,954,0.2265625
124,946,0.0
125,941,0.5
126,936,0.00390625
127,919,0.462890625
128,902,0.28125
129,897,0.0625
130,880,0.390625
131,867,0.390625
132,865,0.0
133,846,0.48828125
134,842,0.25
135,829,0.33984375
136,819,0.25
137,814,0.25
138,807,0.25
139,794,0.26171875
140,789,0.015625
141,759,0.37109375
142,752,0.525390625
143,750,0.25
144,738,0.33203125
145,720,0.4931640625
146,714,0.28125
147,707,0.533203125
148,703,0.25
149,683,0.37890625
150,677,0.25390625
151,656,0.3818359375
152,646,0.0390625
153,639,0.0
154,632,0.5
155,626,0.50390625
156,623,0.212890625
157,610,0.130859375
158,595,0.287109375
159,589,0.5625
160,585,0.5
161,583,0.5
162,569,0.3525390625
163,566,0.375
164,563,0.25
165,549,0.39453125
166,541,0.328125
167,536,0.25390625
168,532,0.25
169,525,0.265625
170,519,0.25
171,506,0.375
172,498,0.28125
173,489,0.31640625
174,486,0.25
175,473,0.28125
176,465,0.34375
177,458,0.52734375
178,453,0.31640625
179,442,0.4384765625
180,440,0.25
181,435,0.0
182,433,0.0
183,428,0.078125
184,422,0.0
185,419,0.25
186,415,0.25390625
187,410,0.3125
188,402,0.25390625
189,394,0.0634765625
190,387,0.25390625
191,373,0.33203125
192,364,0.390625
193,357,0.00390625
194,349,0.37890625
195,342,0.0234375
196,337,0.251953125
197,330,0.25
198,320,0.09375
199,308,0.0234375
200,305,0.25
201,293,0.390625
202,285,0.2861328125
203,271,0.00390625
204,257,0.05078125
205,249,0.47265625
206,245,0.0
207,239,0.25
208,236,0.3125
209,225,0.08203125
210,216,0.501953125
211,207,0.26953125
212,202,0.3125
213,194,0.265625
214,188,0.26953125
215,182,0.5
216,177,0.265625
217,175,0.25
218,156,0.390625
219,143,0.1875
220,122,0.0859375
221,111,0.25
222,102,0.25390625
223,90,0.3125
224,80,0.3779296875
225,70,0.333984375
226,66,0.25
227,63,0.0
228,54,0.0498046875
229,42,0.33203125
230,34,0.2578125
231,25,0.06640625
232,22,0.25
233,13,0.31640625
234,8,0.4267578125
235,0,0.01953125
236,0,0.0
