,queue jobs,utilization
0,1,0.0
1,0,0.0625
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.125
17,0,0.125
18,0,0.125
19,0,0.125
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,2,0.25
25,0,0.4375
26,0,0.4375
27,0,0.25
28,0,0.0
29,0,0.0009765625
30,0,0.0009765625
31,0,0.015625
32,0,0.21875
33,0,0.125
34,0,0.125
35,0,0.0
36,5,0.0625
37,0,0.2509765625
38,0,0.3115234375
39,0,0.34375
40,0,0.310546875
41,9,0.466796875
42,13,0.484375
43,4,0.615234375
44,9,0.6435546875
45,4,0.515625
46,0,0.6533203125
47,0,0.3115234375
48,1,0.046875
49,3,0.0322265625
50,0,0.2626953125
51,0,0.1708984375
52,2,0.109375
53,0,0.1015625
54,0,0.060546875
55,0,0.0615234375
56,0,0.091796875
57,0,0.091796875
58,0,0.185546875
59,0,0.185546875
60,2,0.185546875
61,9,0.373046875
62,0,0.544921875
63,0,0.4990234375
64,0,0.4365234375
65,0,0.2646484375
66,1,0.046875
67,0,0.1796875
68,4,0.3974609375
69,0,0.404296875
70,7,0.091796875
71,13,0.21875
72,0,0.1796875
73,0,0.0
74,0,0.0009765625
75,0,0.03125
76,0,0.0009765625
77,0,0.03125
78,1,0.09375
79,4,0.220703125
80,3,0.34375
81,0,0.3681640625
82,0,0.25
83,0,0.15625
84,0,0.15625
85,3,0.0322265625
86,0,0.3125
87,0,0.4375
88,0,0.46875
89,10,0.578125
90,1,0.734375
91,0,0.625
92,0,0.2978515625
93,0,0.03125
94,1,0.03125
95,0,0.140625
96,1,0.296875
97,0,0.4375
98,0,0.328125
99,0,0.140625
100,0,0.140625
101,0,0.015625
102,0,0.03125
103,1,0.15625
104,2,0.15625
105,0,0.1875
106,0,0.1875
107,0,0.0625
108,0,0.03125
109,0,0.140625
110,0,0.109375
111,2,0.109375
112,7,0.234375
113,1,0.25
114,1,0.421875
115,0,0.4365234375
116,0,0.4599609375
117,2,0.3076171875
118,0,0.2822265625
119,0,0.140625
120,1,0.125
121,11,0.3125
122,3,0.662109375
123,9,0.6572265625
124,0,0.5087890625
125,2,0.1875
126,0,0.0625
127,0,0.0625
128,0,0.0625
129,0,0.40625
130,0,0.5
131,0,0.25
132,0,0.4375
133,3,0.5625
134,4,0.640625
135,0,0.671875
136,0,0.296875
137,0,0.0791015625
138,0,0.234375
139,0,0.236328125
140,0,0.236328125
141,0,0.369140625
142,0,0.556640625
143,0,0.494140625
144,0,0.431640625
145,0,0.244140625
146,0,0.181640625
147,0,0.322265625
148,2,0.572265625
149,0,0.619140625
150,2,0.525390625
151,0,0.447265625
152,0,0.431640625
153,0,0.212890625
154,2,0.244140625
155,0,0.3388671875
156,0,0.5419921875
157,0,0.6513671875
158,0,0.5263671875
159,0,0.5419921875
160,0,0.4169921875
161,0,0.2919921875
162,1,0.2763671875
163,2,0.416015625
164,7,0.416015625
165,15,0.697265625
166,0,0.712890625
167,0,0.587890625
168,0,0.275390625
169,0,0.259765625
170,0,0.197265625
171,0,0.0
