,queue jobs,utilization
0,0,0.0009765625
1,0,0.041015625
2,0,0.1474609375
3,0,0.083984375
4,0,0.0615234375
5,0,0.18359375
6,0,0.20703125
7,0,0.1064453125
8,0,0.1103515625
9,2,0.1064453125
10,0,0.09375
11,2,0.017578125
12,1,0.1162109375
13,0,0.05078125
14,0,0.0224609375
15,0,0.01953125
16,0,0.0078125
17,0,0.009765625
18,0,0.0166015625
19,0,0.0029296875
20,0,0.0126953125
21,1,0.0048828125
22,0,0.09765625
23,0,0.10546875
24,0,0.1044921875
25,0,0.0390625
26,0,0.0322265625
27,0,0.0771484375
28,2,0.076171875
29,5,0.091796875
30,0,0.052734375
31,0,0.1240234375
32,0,0.119140625
33,0,0.119140625
34,0,0.1259765625
35,0,0.0634765625
36,0,0.0556640625
37,3,0.0361328125
38,1,0.0361328125
39,0,0.1005859375
40,0,0.169921875
41,0,0.0908203125
42,0,0.08984375
43,0,0.078125
44,0,0.078125
45,0,0.1171875
46,0,0.119140625
47,1,0.060546875
48,2,0.0458984375
49,0,0.1123046875
50,0,0.078125
51,0,0.07421875
52,0,0.083984375
53,1,0.056640625
54,0,0.052734375
55,1,0.076171875
56,6,0.1279296875
57,5,0.1455078125
58,0,0.154296875
59,0,0.111328125
60,0,0.0849609375
61,0,0.0869140625
62,0,0.095703125
63,0,0.0400390625
64,0,0.1005859375
65,1,0.1201171875
66,4,0.09765625
67,2,0.126953125
68,1,0.169921875
69,0,0.1318359375
70,0,0.0771484375
71,0,0.07421875
72,0,0.08203125
73,0,0.029296875
74,0,0.0234375
75,0,0.0439453125
76,0,0.06640625
77,0,0.048828125
78,1,0.015625
79,0,0.0302734375
80,0,0.0263671875
81,0,0.0341796875
82,0,0.0302734375
83,1,0.0283203125
84,0,0.0283203125
85,0,0.0283203125
86,0,0.0302734375
87,0,0.021484375
88,0,0.0341796875
89,0,0.0283203125
90,0,0.0244140625
91,0,0.0419921875
92,0,0.0
