,queue jobs,utilization
0,2,0.015625
1,7,0.34765625
2,16,0.1015625
3,30,0.0
4,38,0.375
5,55,0.00390625
6,69,0.25390625
7,78,0.25
8,92,0.25
9,93,0.25390625
10,111,0.25
11,113,0.26171875
12,129,0.265625
13,138,0.26171875
14,143,0.40625
15,155,0.2783203125
16,166,0.359375
17,185,0.25390625
18,204,0.265625
19,219,0.25390625
20,218,0.2109375
21,233,0.25
22,231,0.00390625
23,233,0.3203125
24,231,0.458984375
25,248,0.265625
26,255,0.34375
27,265,0.125
28,278,0.5625
29,286,0.015625
30,299,0.015625
31,312,0.0
32,317,0.00390625
33,316,0.50390625
34,313,0.2421875
35,324,0.25
36,330,0.0625
37,330,0.125
38,339,0.001953125
39,351,0.25
40,365,0.25
41,378,0.25
42,385,0.00390625
43,401,0.62890625
44,409,0.099609375
45,418,0.40625
46,425,0.06640625
47,425,0.36328125
48,420,0.37890625
49,434,0.0625
50,436,0.140625
51,456,0.25390625
52,461,0.50390625
53,472,0.0078125
54,486,0.517578125
55,478,0.15234375
56,495,0.25
57,510,0.25390625
58,520,0.1328125
59,533,0.25
60,546,0.26953125
61,560,0.3125
62,572,0.28125
63,579,0.4375
64,593,0.25390625
65,607,0.0
66,622,0.015625
67,636,0.265625
68,655,0.25
69,664,0.265625
70,671,0.609375
71,680,0.09375
72,690,0.0
73,704,0.25
74,711,0.36328125
75,717,0.5
76,720,0.3251953125
77,726,0.046875
78,742,0.265625
79,744,0.15234375
80,756,0.328125
81,762,0.2578125
82,775,0.0
83,791,0.3125
84,802,0.265625
85,821,0.25
86,827,0.375
87,841,0.25390625
88,854,0.078125
89,857,0.2578125
90,864,0.31640625
91,867,0.25
92,880,0.25
93,893,0.25
94,909,0.25
95,918,0.265625
96,925,0.01953125
97,936,0.01171875
98,949,0.25390625
99,960,0.390625
100,979,0.328125
101,990,0.0
102,1005,0.25
103,1023,0.25
104,1030,0.31640625
105,1049,0.03125
106,1056,0.25390625
107,1068,0.25390625
108,1067,0.375
109,1062,0.265625
110,1056,0.5703125
111,1050,0.31640625
112,1042,0.06640625
113,1025,0.375
114,1021,0.3125
115,1014,0.25
116,1003,0.31640625
117,992,0.044921875
118,982,0.37890625
119,970,0.375
120,961,0.0986328125
121,948,0.0087890625
122,941,0.50390625
123,936,0.00390625
124,920,0.3984375
125,904,0.046875
126,900,0.0
127,885,0.333984375
128,867,0.390625
129,865,0.0
130,847,0.44140625
131,843,0.25
132,829,0.34375
133,820,0.3359375
134,815,0.0
135,810,0.25
136,800,0.25
137,789,0.14453125
138,759,0.470703125
139,755,0.3125
140,751,0.25
141,738,0.33203125
142,726,0.45703125
143,719,0.25
144,710,0.25
145,703,0.265625
146,692,0.3359375
147,680,0.3154296875
148,666,0.0888671875
149,656,0.08203125
150,641,0.015625
151,639,0.0
152,632,0.25
153,626,0.26953125
154,623,0.25
155,614,0.392578125
156,598,0.50390625
157,590,0.44140625
158,588,0.25
159,585,0.25
160,582,0.265625
161,573,0.265625
162,566,0.375
163,565,0.25
164,559,0.25390625
165,548,0.45703125
166,541,0.390625
167,539,0.0
168,533,0.0
169,531,0.25
170,522,0.318359375
171,519,0.25
172,511,0.314453125
173,503,0.25
174,494,0.2890625
175,489,0.3125
176,486,0.25
177,473,0.28125
178,465,0.34375
179,458,0.2734375
180,453,0.3125
181,443,0.4375
182,439,0.0625
183,434,0.25
184,433,0.0
185,428,0.078125
186,420,0.25
187,417,0.025390625
188,413,0.25
189,407,0.25
190,401,0.0
191,390,0.0625
192,387,0.0
193,371,0.2578125
194,360,0.390625
195,355,0.25390625
196,352,0.0625
197,344,0.07421875
198,338,0.375
199,336,0.25
200,327,0.3125
201,320,0.09375
202,308,0.0234375
203,305,0.25
204,296,0.19140625
205,286,0.3515625
206,271,0.0849609375
207,257,0.3720703125
208,250,0.26953125
209,246,0.0
210,242,0.28125
211,236,0.3125
212,225,0.08203125
213,214,0.595703125
214,207,0.26953125
215,202,0.3125
216,194,0.26953125
217,188,0.26953125
218,184,0.25
219,177,0.265625
220,175,0.25
221,159,0.4052734375
222,143,0.2958984375
223,122,0.0859375
224,111,0.2529296875
225,102,0.31640625
226,89,0.5732421875
227,80,0.37890625
228,70,0.328125
229,66,0.25
230,61,0.25
231,51,0.25
232,37,0.2578125
233,34,0.25390625
234,23,0.3125
235,18,0.51953125
236,9,0.56640625
237,0,0.26953125
238,0,0.001953125
239,0,0.0
