,queue jobs,utilization
0,1,0.0
1,0,0.0625
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.125
18,0,0.125
19,0,0.125
20,0,0.125
21,0,0.0
22,0,0.0
23,0,0.0
24,1,0.0
25,0,0.4375
26,0,0.4375
27,0,0.375
28,0,0.0
29,0,0.0
30,0,0.0009765625
31,0,0.0009765625
32,2,0.0625
33,0,0.125
34,0,0.140625
35,0,0.0
36,0,0.0
37,0,0.310546875
38,0,0.2802734375
39,0,0.3427734375
40,0,0.3427734375
41,3,0.150390625
42,10,0.59375
43,3,0.654296875
44,6,0.560546875
45,4,0.765625
46,0,0.7158203125
47,0,0.2646484375
48,0,0.0771484375
49,0,0.0615234375
50,3,0.0322265625
51,1,0.2626953125
52,0,0.1865234375
53,0,0.125
54,0,0.09375
55,1,0.0458984375
56,0,0.0771484375
57,0,0.091796875
58,0,0.091796875
59,0,0.185546875
60,0,0.201171875
61,0,0.201171875
62,0,0.5927734375
63,0,0.5458984375
64,0,0.513671875
65,0,0.4375
66,0,0.0771484375
67,1,0.1552734375
68,1,0.404296875
69,2,0.3603515625
70,3,0.4150390625
71,4,0.109375
72,18,0.3056640625
73,0,0.03125
74,0,0.0
75,0,0.0322265625
76,0,0.0
77,0,0.0322265625
78,0,0.03125
79,0,0.21875
80,8,0.234375
81,0,0.4228515625
82,0,0.265625
83,0,0.1259765625
84,0,0.15625
85,0,0.05859375
86,0,0.3125
87,0,0.3125
88,1,0.427734375
89,7,0.34375
90,0,0.734375
91,0,0.609375
92,0,0.5634765625
93,0,0.0322265625
94,0,0.03125
95,0,0.15625
96,0,0.390625
97,0,0.421875
98,0,0.328125
99,0,0.203125
100,0,0.1416015625
101,0,0.015625
102,0,0.03125
103,2,0.03125
104,1,0.1611328125
105,0,0.21875
106,0,0.234375
107,0,0.078125
108,0,0.0625
109,0,0.1416015625
110,0,0.15625
111,0,0.109375
112,9,0.234375
113,4,0.2587890625
114,1,0.396484375
115,0,0.40625
116,0,0.3896484375
117,2,0.3623046875
118,0,0.2998046875
119,0,0.2666015625
120,0,0.140625
121,0,0.125
122,5,0.55859375
123,3,0.7509765625
124,9,0.84375
125,0,0.46875
126,0,0.0625
127,0,0.0625
128,0,0.0625
129,0,0.0625
130,3,0.40625
131,1,0.5
132,1,0.375
133,0,0.5625
134,3,0.578125
135,0,0.671875
136,0,0.5791015625
137,0,0.125
138,0,0.234375
139,0,0.265625
140,0,0.236328125
141,0,0.181640625
142,2,0.431640625
143,0,0.556640625
144,0,0.494140625
145,0,0.369140625
146,0,0.306640625
147,0,0.259765625
148,0,0.447265625
149,0,0.681640625
150,0,0.603515625
151,0,0.5546875
152,0,0.447265625
153,1,0.244140625
154,0,0.2294921875
155,1,0.3701171875
156,2,0.3544921875
157,0,0.6669921875
158,0,0.6513671875
159,0,0.6669921875
160,0,0.4169921875
161,0,0.4169921875
162,0,0.2919921875
163,0,0.291015625
164,0,0.416015625
165,7,0.525390625
166,9,0.712890625
167,0,0.587890625
168,0,0.400390625
169,0,0.2744140625
170,0,0.197265625
171,0,0.197265625
172,0,0.0
