,queue jobs,utilization
0,2,0.015625
1,4,0.4130859375
2,12,0.1650390625
3,30,0.0
4,36,0.09375
5,49,0.2578125
6,67,0.5
7,78,0.25
8,79,0.216796875
9,92,0.25
10,111,0.0
11,112,0.25390625
12,128,0.265625
13,135,0.2578125
14,141,0.40625
15,152,0.33203125
16,164,0.25
17,181,0.25390625
18,201,0.515625
19,210,0.2109375
20,211,0.06640625
21,218,0.0556640625
22,219,0.12890625
23,228,0.375
24,225,0.30859375
25,240,0.3125
26,244,0.125
27,259,0.3125
28,266,0.265625
29,278,0.25
30,289,0.25390625
31,296,0.2578125
32,291,0.39453125
33,292,0.25390625
34,303,0.0
35,299,0.4462890625
36,306,0.03125
37,320,0.25
38,328,0.50390625
39,334,0.5634765625
40,348,0.25
41,356,0.5625
42,365,0.013671875
43,379,0.0625
44,388,0.03515625
45,386,0.25390625
46,388,0.3564453125
47,396,0.125
48,392,0.2197265625
49,410,0.25390625
50,421,0.265625
51,438,0.5
52,450,0.25
53,448,0.162109375
54,457,0.5
55,465,0.25390625
56,468,0.13671875
57,488,0.25
58,505,0.0
59,517,0.4375
60,528,0.28125
61,541,0.625
62,549,0.25390625
63,560,0.0
64,573,0.265625
65,582,0.265625
66,604,0.25
67,621,0.546875
68,638,0.25
69,642,0.3125
70,648,0.015625
71,665,0.0
72,667,0.3515625
73,670,0.3681640625
74,682,0.375
75,687,0.25
76,691,0.1982421875
77,694,0.32421875
78,703,0.625
79,714,0.25
80,726,0.3037109375
81,742,0.3125
82,752,0.25
83,765,0.33984375
84,778,0.01953125
85,787,0.2578125
86,789,0.4580078125
87,800,0.0703125
88,809,0.5234375
89,827,0.25
90,838,0.2734375
91,852,0.5
92,864,0.25
93,876,0.03125
94,882,0.2578125
95,889,0.00390625
96,900,0.00390625
97,909,0.125
98,925,0.28125
99,933,0.4375
100,952,0.25390625
101,970,0.515625
102,981,0.2939453125
103,982,0.4287109375
104,1006,0.25
105,1021,0.548828125
106,1034,0.56640625
107,1053,0.265625
108,1051,0.30859375
109,1042,0.37890625
110,1025,0.375
111,1020,0.3125
112,1015,0.013671875
113,1003,0.337890625
114,992,0.2890625
115,982,0.11328125
116,970,0.375
117,951,0.2529296875
118,945,0.0
119,941,0.0556640625
120,928,0.0859375
121,919,0.12890625
122,900,0.51171875
123,895,0.25
124,879,0.12890625
125,866,0.3818359375
126,859,0.25390625
127,845,0.328125
128,836,0.01171875
129,820,0.3515625
130,815,0.25
131,812,0.3125
132,803,0.375
133,794,0.26171875
134,789,0.0
135,759,0.37109375
136,754,0.3447265625
137,751,0.25
138,739,0.37890625
139,726,0.45703125
140,719,0.25
141,710,0.2626953125
142,703,0.265625
143,688,0.3505859375
144,680,0.25
145,659,0.287109375
146,650,0.28125
147,640,0.0078125
148,635,0.3125
149,629,0.25
150,623,0.5
151,614,0.4296875
152,595,0.5546875
153,590,0.3125
154,585,0.5
155,581,0.578125
156,569,0.265625
157,565,0.3125
158,559,0.25390625
159,548,0.251953125
160,540,0.3125
161,535,0.25
162,531,0.25
163,520,0.3125
164,514,0.25
165,506,0.125
166,494,0.2890625
167,488,0.3125
168,482,0.029296875
169,470,0.125
170,464,0.265625
171,454,0.06640625
172,448,0.125
173,440,0.37890625
174,436,0.25
175,433,0.25
176,428,0.078125
177,422,0.0
178,418,0.25
179,413,0.25390625
180,407,0.25
181,401,0.0
182,390,0.0625
183,384,0.015625
184,373,0.00390625
185,360,0.453125
186,355,0.25
187,346,0.1875
188,338,0.375
189,336,0.25
190,327,0.0
191,319,0.09375
192,306,0.265625
193,296,0.44140625
194,290,0.09375
195,276,0.06640625
196,257,0.453125
197,250,0.26953125
198,246,0.0
199,242,0.28125
200,236,0.5625
201,227,0.078125
202,214,0.6611328125
203,207,0.26953125
204,202,0.3125
205,198,0.2001953125
206,189,0.2734375
207,184,0.25
208,179,0.2578125
209,176,0.0810546875
210,163,0.33203125
211,143,0.328125
212,122,0.1171875
213,114,0.28125
214,107,0.0625
215,93,0.26171875
216,84,0.25390625
217,77,0.25
218,69,0.265625
219,64,0.25
220,54,0.33203125
221,42,0.39453125
222,36,0.00390625
223,25,0.33203125
224,22,0.25
225,13,0.33203125
226,8,0.25
227,0,0.013671875
228,0,0.0
