,queue jobs,utilization
0,1,0.0
1,0,0.125
2,0,0.125
3,2,0.0
4,2,0.046875
5,2,0.0595703125
6,5,0.0546875
7,1,0.0
8,0,0.0
9,0,0.03125
10,0,0.125
11,0,0.015625
12,0,0.0
13,0,0.0
14,0,0.015625
15,0,0.015625
16,0,0.0
17,6,0.0
18,1,0.125
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.015625
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.03125
27,0,0.125
28,0,0.03125
29,2,0.015625
30,0,0.0625
31,0,0.0
32,0,0.001953125
33,1,0.0302734375
34,0,0.0625
35,0,0.0
36,1,0.0
37,0,0.0
38,0,0.0625
39,0,0.0
40,0,0.0791015625
41,2,0.0078125
42,0,0.005859375
43,1,0.076171875
44,0,0.0400390625
45,1,0.0625
46,0,0.083984375
47,0,0.125
48,0,0.0
49,0,0.0048828125
50,3,0.00390625
51,2,0.0390625
52,2,0.0
53,4,0.0
54,1,0.0078125
55,0,0.0
56,0,0.0625
57,0,0.015625
58,0,0.125
59,0,0.0625
60,2,0.009765625
61,4,0.0205078125
62,2,0.0498046875
63,0,0.0859375
64,0,0.0625
65,0,0.0
