,queue jobs,utilization
0,1,0.0
1,0,0.0625
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.125
18,0,0.125
19,0,0.125
20,0,0.125
21,0,0.0
22,0,0.0
23,0,0.0
24,1,0.0
25,0,0.4375
26,0,0.4375
27,0,0.375
28,0,0.0
29,0,0.0
30,0,0.0009765625
31,0,0.0009765625
32,2,0.0625
33,0,0.125
34,0,0.140625
35,0,0.0
36,0,0.0
37,0,0.248046875
38,0,0.2802734375
39,0,0.3427734375
40,0,0.3427734375
41,5,0.09765625
42,16,0.15625
43,20,0.34375
44,31,0.3125
45,27,0.310546875
46,23,0.49609375
47,23,0.515625
48,23,0.453125
49,15,0.3388671875
50,23,0.2041015625
51,42,0.0322265625
52,59,0.0009765625
53,57,0.091796875
54,32,0.185546875
55,24,0.125
56,0,0.2646484375
57,3,0.169921875
58,2,0.216796875
59,1,0.29296875
60,11,0.365234375
61,11,0.453125
62,5,0.552734375
63,0,0.4814453125
64,6,0.1396484375
65,17,0.060546875
66,25,0.1513671875
67,42,0.404296875
68,40,0.3291015625
69,42,0.1337890625
70,44,0.099609375
71,6,0.326171875
72,0,0.0166015625
73,0,0.013671875
74,0,0.0322265625
75,1,0.0556640625
76,1,0.09375
77,7,0.234375
78,2,0.421875
79,0,0.2978515625
80,0,0.2509765625
81,0,0.15625
82,0,0.1533203125
83,0,0.3125
84,0,0.3125
85,1,0.40625
86,6,0.46875
87,0,0.734375
88,0,0.609375
89,0,0.5634765625
90,0,0.0322265625
91,0,0.03125
92,0,0.15625
93,0,0.33203125
94,0,0.421875
95,0,0.328125
96,0,0.203125
97,0,0.1416015625
98,0,0.015625
99,0,0.03125
100,1,0.033203125
101,2,0.15625
102,0,0.21875
103,0,0.234375
104,0,0.078125
105,0,0.0625
106,0,0.1416015625
107,0,0.15625
108,1,0.0947265625
109,9,0.234375
110,1,0.25
111,0,0.421875
112,3,0.4072265625
113,0,0.4130859375
114,1,0.3603515625
115,0,0.298828125
116,0,0.2666015625
117,0,0.125
118,0,0.125
119,8,0.5625
120,4,0.7509765625
121,15,0.71875
122,0,0.46875
123,0,0.0625
124,0,0.0625
125,0,0.0625
126,4,0.03125
127,0,0.5
128,0,0.5
129,2,0.4375
130,0,0.5625
131,4,0.703125
132,0,0.671875
133,0,0.421875
134,0,0.078125
135,0,0.234375
136,0,0.267578125
137,1,0.220703125
138,0,0.369140625
139,1,0.494140625
140,0,0.5556640625
141,0,0.494140625
142,0,0.306640625
143,0,0.306640625
144,0,0.259765625
145,3,0.509765625
146,0,0.681640625
147,0,0.541015625
148,0,0.447265625
149,0,0.447265625
150,1,0.2451171875
151,0,0.244140625
152,0,0.3544921875
153,0,0.5419921875
154,0,0.6630859375
155,0,0.6513671875
156,0,0.58203125
157,0,0.4169921875
158,0,0.2919921875
159,0,0.2919921875
160,0,0.2919921875
161,0,0.416015625
162,12,0.650390625
163,0,0.712890625
164,0,0.587890625
165,0,0.337890625
166,0,0.259765625
167,0,0.197265625
168,0,0.1875
169,0,0.0
